station_seqnum,date,rgp1,rgp2,who
1240001,7/1/2024,0.2,0.2,7
1240001,7/2/2024,0,0,7
1240001,7/3/2024,0.2,0.4,7
1240001,7/4/2024,0.2,0,7
1240001,7/5/2024,0,0,7
1240001,7/6/2024,34.4,32.2,7
1240001,7/7/2024,22.8,21,7
1240001,7/8/2024,1.4,1.6,7
1240001,7/9/2024,1.2,1.2,7
1240001,7/10/2024,0.2,0.4,7
1240001,7/11/2024,0.2,0.2,7
1240001,7/12/2024,0.2,0,7
1240001,7/13/2024,0,0,7
1240001,7/14/2024,0,0,7
1240001,7/15/2024,0,0,7
1240001,7/16/2024,0.6,0.6,7
1240001,7/17/2024,0.6,0.8,7
1240001,7/18/2024,0.4,0.2,7
1240001,7/19/2024,0,0,7
1240001,7/20/2024,0,0,7
1240001,7/21/2024,0,0,7
1240001,7/22/2024,0,0,7
1240001,7/23/2024,0,0,7
1240001,7/24/2024,0,0,7
1240001,7/25/2024,0,0.2,7
1240001,7/26/2024,13.6,12.6,7
1240001,7/27/2024,0,0,7
1240001,7/28/2024,0,0,7
1240001,7/29/2024,0.2,0.4,7
1240001,7/30/2024,0,0,7
1240002,7/1/2024,0,0,7
1240002,7/2/2024,0,0,7
1240002,7/3/2024,0,0,7
1240002,7/4/2024,0,0,7
1240002,7/5/2024,0,0,7
1240002,7/6/2024,0,0,7
1240002,7/7/2024,0,0,7
1240002,7/8/2024,0,0,7
1240002,7/9/2024,0,0,7
1240002,7/10/2024,0,0,7
1240002,7/11/2024,0,0,7
1240002,7/12/2024,0,0,7
1240002,7/12/2024,8.2,0,7
1240002,7/13/2024,0,0,7
1240002,7/14/2024,0,0,7
1240002,7/15/2024,0,0,7
1240002,7/16/2024,0,0,7
1240002,7/17/2024,3.6,0,7
1240002,7/18/2024,0,0,7
1240002,7/19/2024,0,0,7
1240002,7/20/2024,0,0,7
1240002,7/21/2024,0,0,7
1240002,7/22/2024,0,0,7
1240002,7/23/2024,0,0,7
1240002,7/24/2024,0.2,0,7
1240002,7/25/2024,2.6,0,7
1240002,7/26/2024,2.4,0,7
1240002,7/27/2024,1.6,0,7
1240002,7/28/2024,0,0,7
1240002,7/29/2024,0,0,7
1240002,7/30/2024,0,0,7
1240003,7/1/2024,0,0,7
1240003,7/4/2024,0,0,7
1240003,7/5/2024,0,0,7
1240003,7/8/2024,0,0,7
1240003,7/9/2024,0,0,7
1240003,7/12/2024,0,0,7
1240003,7/18/2024,0,0,7
1240003,7/21/2024,0,0,7
1240003,7/29/2024,0,0,7
1240003,7/30/2024,0,0,7
1240004,7/1/2024,0,0,7
1240004,7/2/2024,0,0,7
1240004,7/3/2024,0,0,7
1240004,7/4/2024,0,0,7
1240004,7/5/2024,0,0,7
1240004,7/6/2024,0,0,7
1240004,7/7/2024,0,0,7
1240004,7/8/2024,0,0,7
1240004,7/9/2024,0,0,7
1240004,7/10/2024,0,0,7
1240004,7/11/2024,0,0,7
1240004,7/12/2024,0,0,7
1240004,7/13/2024,0,0,7
1240004,7/14/2024,0,0,7
1240004,7/15/2024,0,0,7
1240004,7/16/2024,1.4,1.6,7
1240004,7/17/2024,0.2,0.2,7
1240004,7/18/2024,0,0,7
1240004,7/19/2024,0,0,7
1240004,7/20/2024,0,0,7
1240004,7/21/2024,0,0,7
1240004,7/22/2024,0,0,7
1240004,7/23/2024,0,0,7
1240004,7/23/2024,0.8,0.8,7
1240004,7/24/2024,0,0.2,7
1240004,7/25/2024,0,0,7
1240004,7/26/2024,0,0,7
1240004,7/27/2024,0,0,7
1240004,7/28/2024,0,0,7
1240004,7/29/2024,0,0,7
1240004,7/30/2024,0,0,7
1240005,7/1/2024,0.8,0.8,7
1240005,7/1/2024,0,0,7
1240005,7/2/2024,0,0,7
1240005,7/3/2024,0,0,7
1240005,7/4/2024,0,0,7
1240005,7/5/2024,0,0,7
1240005,7/6/2024,0,0,7
1240005,7/7/2024,0,0.4,7
1240005,7/8/2024,0,0,7
1240005,7/9/2024,0,0,7
1240005,7/10/2024,0,0,7
1240005,7/11/2024,0.4,0.8,7
1240005,7/12/2024,6,6.6,7
1240005,7/13/2024,0,0,7
1240005,7/14/2024,0,0,7
1240005,7/15/2024,0,0,7
1240005,7/16/2024,0,0,7
1240005,7/17/2024,0,0,7
1240005,7/18/2024,0,0,7
1240005,7/19/2024,0,0,7
1240005,7/20/2024,0,0,7
1240005,7/21/2024,0,0,7
1240005,7/22/2024,0,0,7
1240005,7/23/2024,0,0,7
1240005,7/24/2024,0,0,7
1240005,7/25/2024,0,0,7
1240005,7/26/2024,0,0,7
1240005,7/27/2024,0,0,7
1240005,7/28/2024,0,0,7
1240005,7/29/2024,0,0,7
1240005,7/29/2024,0.2,0.4,7
1240005,7/30/2024,0,0,7
1240006,7/1/2024,0,0,7
1240006,7/2/2024,0,0,7
1240006,7/3/2024,0,0,7
1240006,7/4/2024,0,0,7
1240006,7/5/2024,0,0,7
1240006,7/6/2024,0,0,7
1240006,7/7/2024,0,0,7
1240006,7/8/2024,0,0,7
1240006,7/9/2024,0,0,7
1240006,7/10/2024,0.2,0,7
1240006,7/11/2024,2.4,0,7
1240006,7/12/2024,8.2,0,7
1240006,7/13/2024,0,0,7
1240006,7/14/2024,0.2,0,7
1240006,7/15/2024,0,0,7
1240006,7/16/2024,0,0,7
1240006,7/17/2024,0,0,7
1240006,7/18/2024,3,0,7
1240006,7/19/2024,0,0,7
1240006,7/20/2024,0.4,0,7
1240006,7/21/2024,0,0,7
1240006,7/22/2024,0,0,7
1240006,7/23/2024,0.8,0,7
1240006,7/24/2024,2.4,2,7
1240006,7/25/2024,0,4,7
1240006,7/26/2024,0,0,7
1240006,7/27/2024,0,0,7
1240006,7/28/2024,0,0.8,7
1240006,7/29/2024,0,0,7
1240006,7/30/2024,0,0,7
1240007,7/1/2024,0,0,7
1240007,7/2/2024,9.2,10,7
1240007,7/3/2024,0,0.2,7
1240007,7/4/2024,0.2,0.4,7
1240007,7/5/2024,0,0,7
1240007,7/6/2024,0,0.2,7
1240007,7/7/2024,0,0.2,7
1240007,7/8/2024,0,0,7
1240007,7/9/2024,0,0,7
1240007,7/10/2024,0,9.8,7
1240007,7/11/2024,4.6,15.6,7
1240007,7/12/2024,0,7,7
1240007,7/13/2024,0,14,7
1240007,7/14/2024,0,0,7
1240007,7/15/2024,0,0,7
1240007,7/16/2024,0,0,7
1240007,7/17/2024,0,0,7
1240007,7/18/2024,0.2,0.2,7
1240007,7/19/2024,0,0,7
1240007,7/20/2024,0,0,7
1240007,7/21/2024,0,0,7
1240007,7/22/2024,0,0,7
1240007,7/23/2024,0.8,4.8,7
1240007,7/24/2024,0,0,7
1240007,7/25/2024,0,0,7
1240007,7/26/2024,0,0,7
1240007,7/27/2024,0,0,7
1240007,7/28/2024,0,0.4,7
1240007,7/29/2024,0,0.4,7
1240007,7/29/2024,0,0,7
1240007,7/30/2024,0,0,7
1240008,7/1/2024,0,0,7
1240008,7/2/2024,7,7.2,7
1240008,7/3/2024,0,0,7
1240008,7/4/2024,0,0,7
1240008,7/5/2024,0.6,0.6,7
1240008,7/6/2024,0,0,7
1240008,7/7/2024,0.4,0.4,7
1240008,7/8/2024,0,0,7
1240008,7/9/2024,0.4,0.6,7
1240008,7/10/2024,74.4,77.2,7
1240008,7/11/2024,12.4,12.2,7
1240008,7/12/2024,6.2,6.2,7
1240008,7/13/2024,7.2,7.2,7
1240008,7/14/2024,0,0,7
1240008,7/15/2024,0,0,7
1240008,7/16/2024,0,0,7
1240008,7/17/2024,0.2,0.2,7
1240008,7/18/2024,0,0,7
1240008,7/19/2024,0,0,7
1240008,7/20/2024,0,0,7
1240008,7/21/2024,0.4,0.4,7
1240008,7/22/2024,0,0,7
1240008,7/23/2024,1,1,7
1240008,7/24/2024,0,0,7
1240008,7/25/2024,0,0,7
1240008,7/26/2024,0,0,7
1240008,7/27/2024,0,0,7
1240008,7/28/2024,0.8,0.8,7
1240008,7/29/2024,0,0,7
1240008,7/30/2024,0,0,7
1240009,7/1/2024,0,0,7
1240009,7/2/2024,0,0,7
1240009,7/3/2024,0,0,7
1240009,7/4/2024,0,0,7
1240009,7/5/2024,0,0,7
1240009,7/6/2024,0,0,7
1240009,7/7/2024,0,0,7
1240009,7/8/2024,0,0.2,7
1240009,7/9/2024,0,0,7
1240009,7/10/2024,0,0,7
1240009,7/11/2024,0,0,7
1240009,7/12/2024,0,0,7
1240009,7/13/2024,0,0,7
1240009,7/14/2024,0,0,7
