1240001,2025-06-01,0.6,0.6,7
1240001,2025-06-02,0,0,7
1240001,2025-06-03,0,0,7
1240001,2025-06-04,0,0,7
1240001,2025-06-05,0.4,0.4,7
1240001,2025-06-06,0,0,7
1240001,2025-06-07,0,0,7
1240001,2025-06-08,0,0,7
1240001,2025-06-09,0,0,7
1240001,2025-06-10,0,0,7
1240002,2025-06-01,15.2,15.4,7
1240002,2025-06-02,0,0,7
1240002,2025-06-03,3,0.4,7
1240002,2025-06-04,21.2,19.2,7
1240002,2025-06-05,6.6,5.4,7
1240002,2025-06-06,26,11.2,7
1240002,2025-06-07,13.6,10.6,7
1240002,2025-06-08,42.2,18.4,7
1240002,2025-06-09,62.2,16.6,7
1240002,2025-06-10,12.2,4.6,7
1240004,2025-06-01,0,0,7
1240004,2025-06-02,0,0,7
1240004,2025-06-03,0,0,7
1240004,2025-06-04,0,0,7
1240004,2025-06-05,0,0,7
1240004,2025-06-06,0,0,7
1240004,2025-06-07,0,0,7
1240004,2025-06-08,0,0,7
1240004,2025-06-09,0,0,7
1240004,2025-06-10,0,0,7
1240005,2025-06-01,11.6,0,7
1240005,2025-06-02,0,0,7
1240005,2025-06-03,0,0,7
1240005,2025-06-04,52.2,0,7
1240005,2025-06-05,10.6,0,7
1240005,2025-06-06,3.6,0,7
1240005,2025-06-07,13.8,0,7
1240005,2025-06-08,12.8,0,7
1240005,2025-06-09,6.4,0,7
1240005,2025-06-10,4.4,0,7
1240006,2025-06-01,0,0,7
1240006,2025-06-02,0,0,7
1240006,2025-06-03,0.2,0.2,7
1240006,2025-06-04,0,0,7
1240006,2025-06-05,0,0,7
1240006,2025-06-06,0,0,7
1240006,2025-06-07,0,0,7
1240006,2025-06-08,0,0,7
1240006,2025-06-09,0,0,7
1240006,2025-06-10,0,0,7
1240007,2025-06-01,0,0,7
1240007,2025-06-02,0,0,7
1240007,2025-06-03,0,0,7
1240007,2025-06-04,0,0,7
1240007,2025-06-05,0,0,7
1240007,2025-06-06,0,0,7
1240007,2025-06-07,0,0,7
1240007,2025-06-08,0,0,7
1240007,2025-06-09,3,5.2,7
