1240001,2024-09-01,0,0,7
1240001,2024-09-02,0,0,7
1240001,2024-09-03,0,0,7
1240001,2024-09-04,0,0,7
1240001,2024-09-04,3,3,7
1240001,2024-09-05,3,3,7
1240001,2024-09-05,0,0,7
1240001,2024-09-06,0,0,7
1240001,2024-09-07,0,0,7
1240001,2024-09-08,0,0,7
1240001,2024-09-09,0,0,7
1240001,2024-09-10,0,0,7
1240001,2024-09-11,0,0,7
1240001,2024-09-12,0,0,7
1240001,2024-09-13,0,0,7
1240001,2024-09-14,0,0,7
1240001,2024-09-15,0,0,7
1240001,2024-09-16,0,0,7
1240001,2024-09-17,0,0,7
1240001,2024-09-18,0,0,7
1240001,2024-09-19,0,0,7
1240001,2024-09-20,20.8,20.2,7
1240001,2024-09-21,0,0,7
1240001,2024-09-22,0,0,7
1240001,2024-09-23,0,0,7
1240001,2024-09-24,0,0,7
1240001,2024-09-25,0,0,7
1240001,2024-09-26,0,0,7
1240001,2024-09-27,9.6,9.2,7
1240001,2024-09-28,1,1.2,7
1240001,2024-09-29,19,18,7
1240001,2024-09-30,19,18,7
1240002,2024-09-01,0,0,7
1240002,2024-09-02,2.2,0,7
1240002,2024-09-03,0,0,7
1240002,2024-09-04,1.8,0,7
1240002,2024-09-05,11.4,0,7
1240002,2024-09-06,0.6,0,7
1240002,2024-09-07,0,0,7
1240002,2024-09-08,0.4,0,7
1240002,2024-09-09,3.2,0,7
1240002,2024-09-10,2.2,0,7
1240002,2024-09-12,0.6,0,7
1240003,2024-09-01,0,0,7
1240003,2024-09-03,0,0,7
1240003,2024-09-04,0,0,7
1240003,2024-09-05,0.2,0,7
1240003,2024-09-06,0,0,7
1240003,2024-09-08,0,0,7
1240003,2024-09-09,0,0,7
1240003,2024-09-10,0,0,7
1240004,2024-09-01,0,0,7
1240004,2024-09-02,0,0,7
1240004,2024-09-03,0,0,7
1240004,2024-09-04,0,0,7
1240004,2024-09-05,0,0,7
1240004,2024-09-05,1.4,2,7
1240004,2024-09-06,0,0,7
1240004,2024-09-07,0,0,7
1240004,2024-09-08,0,0,7
1240004,2024-09-09,0,0,7
1240004,2024-09-10,0,0,7
1240004,2024-09-11,0,0,7
1240004,2024-09-12,0,0,7
1240004,2024-09-13,0,0,7
1240004,2024-09-14,0,0,7
1240004,2024-09-15,0,0,7
1240004,2024-09-16,0,0,7
1240004,2024-09-17,0,0,7
1240004,2024-09-18,0,0,7
1240004,2024-09-19,0,0,7
1240004,2024-09-20,0,0,7
1240004,2024-09-21,0.6,0.8,7
1240004,2024-09-22,0,0,7
1240004,2024-09-23,0,0,7
1240004,2024-09-24,0,0,7
1240004,2024-09-25,0,0,7
1240004,2024-09-26,0,0,7
1240004,2024-09-27,0,0,7
1240004,2024-09-28,0,0,7
1240004,2024-09-29,0,0,7
1240004,2024-09-30,0,0,7
1240005,2024-09-01,0,0,7
1240005,2024-09-02,1.8,2,7
1240005,2024-09-03,0,0,7
1240005,2024-09-04,2.6,2.6,7
1240005,2024-09-05,6.8,7.4,7
1240005,2024-09-06,0.8,0.8,7
1240005,2024-09-07,0,0,7
1240005,2024-09-08,2,2.2,7
1240005,2024-09-09,1.6,1.8,7
1240005,2024-09-10,0,0,7
1240005,2024-09-11,0,0,7
